Cave,B500_Forest_pland_2015,B500_Canga_pland_2015,B500_Minning_pland_2015,B500_Forest_pland_2016,B500_Canga_pland_2016,B500_Minning_pland_2016,B500_Forest_pland_2017,B500_Canga_pland_2017,B500_Minning_pland_2017,B500_Forest_pland_2018,B500_Canga_pland_2018,B500_Minning_pland_2018,B500_Forest_pland_2019,B500_Canga_pland_2019,B500_Minning_pland_2019,B1000_Forest_pland_2015,B1000_Canga_pland_2015,B1000_Minning_pland_2015,B1000_Forest_pland_2016,B1000_Canga_pland_2016,B1000_Minning_pland_2016,B1000_Forest_pland_2017,B1000_Canga_pland_2017,B1000_Minning_pland_2017,B1000_Forest_pland_2018,B1000_Canga_pland_2018,B1000_Minning_pland_2018,B1000_Forest_pland_2019,B1000_Canga_pland_2019,B1000_Minning_pland_2019,B500_Allvegetation_pland_2015,B1000_Allvegetation_pland_2015,B500_Allvegetation_pland_2016,B1000_Allvegetation_pland_2016,B500_Allvegetation_pland_2017,B1000_Allvegetation_pland_2017,B500_Allvegetation_pland_2018,B1000_Allvegetation_pland_2018,B500_Allvegetation_pland_2019,B1000_Allvegetation_pland_2019,mintopodist,tdm_2015,tdm_2016,tdm_2017,tdm_2018,tdm_2019
N4E_0004,18.30663616,26.31578947,44.85125858,15.44622426,22.88329519,50.4576659,9.725400458,24.37070938,50.34324943,7.551487414,22.42562929,50.34324943,22.76887872,21.73913043,48.97025172,11.84738956,22.54733219,56.33964429,10.24096386,20.39586919,60.35570855,5.938037866,21.91623637,60.35570855,5.020080321,19.73608721,60.47045324,12.56454389,18.27309237,59.63855422,44.62242563,34.39472174,38.32951945,30.63683305,34.09610984,27.85427424,29.9771167,24.75616753,44.50800915,30.83763626,104.0888683,90.34916278,90.34916278,90.34916278,90.34916278,90.34916278
N4E_0006_0007,23.79310345,28.04597701,37.01149425,19.42528736,24.94252874,42.52873563,10.91954023,27.70114943,42.4137931,8.390804598,23.67816092,42.52873563,26.55172414,22.75862069,41.03448276,14.96559633,25.31536697,50.28669725,13.18807339,24.08256881,53.21100917,8.600917431,25.63073394,53.2396789,7.826834862,23.13646789,53.41169725,14.85091743,21.81766055,53.0103211,51.83908046,40.2809633,44.36781609,37.2706422,38.62068966,34.23165138,32.06896552,30.96330275,49.31034483,36.66857798,89.04451149,128.8693009,139.1685944,139.1685944,139.1685944,139.1685944
N4E_0010,24.39862543,27.26231386,39.51890034,19.93127148,24.16953036,44.55899198,10.99656357,26.80412371,44.44444444,8.591065292,22.79495991,44.55899198,26.57502864,21.64948454,43.069874,16.20847652,25.31500573,49.97136312,14.28980527,23.9117984,53.37915235,9.70790378,25.51546392,53.40778923,8.906071019,23.13860252,53.57961054,15.57846506,21.84994273,53.06414662,51.66093929,41.52348225,44.10080183,38.20160367,37.80068729,35.2233677,31.3860252,32.04467354,48.22451317,37.42840779,0,87.32274251,75.71469262,75.71469262,75.71469262,75.71469262
N4E_0011,24.74226804,27.49140893,39.06071019,20.27491409,24.39862543,44.10080183,11.34020619,27.03321879,43.9862543,8.934707904,23.02405498,44.10080183,26.57502864,21.87857961,42.61168385,16.46078713,25.48118357,49.52599828,14.59350761,24.07354209,52.91582878,9.939672508,25.68227521,52.94455616,9.077851192,23.2979029,53.11692043,15.68514795,22.03389831,52.59982764,52.23367698,41.9419707,44.67353952,38.6670497,38.37342497,35.62194772,31.95876289,32.37575409,48.45360825,37.71904625,0,87.32274251,75.71469262,75.71469262,75.71469262,75.71469262
N4E_0021,37.88748565,32.72101033,23.65097589,35.24684271,30.53960964,26.75086108,27.66934558,32.72101033,26.9804822,27.66934558,25.37313433,27.66934558,32.14695752,25.25832377,27.43972445,42.81214204,25.63001145,23.02405498,39.54753723,24.22680412,25.68728522,34.10652921,25.97365407,25.71592211,32.58877434,23.71134021,25.97365407,41.26575029,22.16494845,25.63001145,70.60849598,68.44215349,65.78645235,63.77434135,60.39035591,60.08018328,53.04247991,56.30011455,57.40528129,63.43069874,0,98.16334738,98.16334738,98.16334738,98.16334738,98.16334738
N4E_0022,25.51487414,35.35469108,32.03661327,23.3409611,29.29061785,39.13043478,21.28146453,31.12128146,39.13043478,22.08237986,31.9221968,39.70251716,21.51029748,33.06636156,36.84210526,36.90237618,22.67391927,34.35442313,34.98425422,16.54738048,41.22530776,32.80847409,17.66389923,41.28256513,34.86973948,15.6885199,41.71199542,35.69997137,17.77841397,39.19267106,60.86956522,59.57629545,52.63157895,51.5316347,52.402746,50.47237332,54.00457666,50.55825938,54.57665904,53.47838534,72.24940019,131.6559871,187.6094397,187.6094397,187.6094397,187.6094397
N4E_0033,20.11428571,27.54285714,40.8,17.02857143,24.11428571,46.51428571,10.51428571,26.17142857,46.4,8,23.42857143,46.4,24.45714286,22.62857143,45.02857143,12.43538196,23.83687536,53.53245261,10.88454911,22.48707639,56.66283745,6.519241815,24.00919012,56.69155658,5.600229753,21.68294084,56.80643308,13.23951752,19.95979322,56.34692705,47.65714286,36.27225732,41.14285714,33.3716255,36.68571429,30.52843194,31.42857143,27.28317059,47.08571429,33.19931074,90.1475064,153.2814647,153.2814647,153.2814647,153.2814647,153.2814647
N4E_0048,27.24137931,30.45977011,34.36781609,23.44827586,27.24137931,38.85057471,13.44827586,30.22988506,38.85057471,11.26436782,25.63218391,38.96551724,25.74712644,25.28735632,37.47126437,21.97078201,26.15296477,43.34001719,19.7364652,24.92122601,46.17588084,15.01002578,26.5253509,46.20452592,14.43712403,24.14780865,46.34775136,20.8536236,22.83013463,45.86078488,57.70114943,48.12374678,50.68965517,44.65769121,43.67816092,41.53537668,36.89655172,38.58493268,51.03448276,43.68375824,174.4809096,90.79007053,73.6369252,73.6369252,73.6369252,73.6369252
N4E_0052,36.55172414,33.10344828,24.36781609,33.79310345,30.91954023,27.5862069,25.97701149,33.10344828,27.81609195,25.97701149,25.63218391,28.50574713,30.8045977,25.86206897,28.16091954,42.09621993,25.80183276,23.56815578,38.860252,24.39862543,26.23138603,33.47651775,26.14547537,26.26002291,31.98739977,23.88316151,26.51775487,40.66437572,22.30813288,26.17411226,69.65517241,67.89805269,64.71264368,63.25887743,59.08045977,59.62199313,51.6091954,55.87056128,56.66666667,62.97250859,0,98.16334738,98.16334738,98.16334738,98.16334738,98.16334738
N4E_0053,22.47706422,34.40366972,36.81192661,20.06880734,29.47247706,43.11926606,18.11926606,31.07798165,43.11926606,18.92201835,31.76605505,43.57798165,18.34862385,32.45412844,41.05504587,36.139748,22.76632302,35.19473081,34.13516609,16.7812142,41.98167239,31.64375716,17.98396334,42.03894616,33.33333333,15.89347079,42.46849943,34.8510882,18.04123711,39.91981672,56.88073394,58.90607102,49.5412844,50.9163803,49.19724771,49.6277205,50.68807339,49.22680412,50.80275229,52.89232532,72.24940019,132.2768924,115.3600395,115.3600395,115.3600395,115.3600395
